position,salary,hours,years,respon,salq,years_cut,time
PROFESOR INTERINO LICENCIADO           ,249090.7,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,130607.2,1/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,915587.0,Tiempo Completo,5,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1197064.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,539052.0,Tiempo Completo,4,MENSAJERO-CHOFER                                                                                                                                                                                                                                                ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,278066.95,3/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO,777909.35,3/4 de tiempo,5,PROFESIONAL EN PSICOLOGÍA DE SEDE                                                                                                                                                                                                                               ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,632785.5,Tiempo Completo,5,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,5,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO A,675233.0,Tiempo Completo,5,ELECTRICISTA                                                                                                                                                                                                                                                    ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1044858.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,717207.0,Tiempo Completo,5,TÉCNICO EN MANTENIMIENTO DE EQUIPO                                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,249090.75,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,848167.0,Tiempo Completo,5,LOCUTOR                                                                                                                                                                                                                                                         ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1077278.0,Tiempo Completo,5,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153567.05,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,226412.95,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,128400.5,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,5,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,5,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,940819.65,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,279229.0,1/2 tiempo,4,ASISTENTE EN ARCHIVÍSTICA                                                                                                                                                                                                                                       ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,98440.45,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,382407.35,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,176774.05,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,64200.25,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,4,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PERSONAL EXTRAORDINARIO 1,332590.0,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,85600.35,3/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,627499.0,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,146687.25,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,754348.05,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,845838.0,Tiempo Completo,5,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,141628.95,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,503388.45,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,1005791.0,Tiempo Completo,5,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,205323.85,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,428854.0,Tiempo Completo,1,ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,590642.45,Tiempo Completo,1,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,122558.3,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,720712.15,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,36718.25,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,557083.2,3/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,415255.5,3/4 de tiempo,2,TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,138030.45,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,832269.1,Tiempo Completo,1,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,770126.0,Tiempo Completo,5,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,168169.95,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,192417.65,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,118128.5,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,218370.0,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,399354.8,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,218370.0,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,653704.0,Tiempo Completo,4,REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL                                                                                                                                                                                                                ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,846030.0,Tiempo Completo,5,OFICIAL DE TRÁNSITO                                                                                                                                                                                                                                             ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,871201.0,Tiempo Completo,5,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,254528.3,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO A,567870.0,Tiempo Completo,5,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,618709.3,7/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,590759.0,Tiempo Completo,4,CHOFER                                                                                                                                                                                                                                                          ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,4,BODEGUERO                                                                                                                                                                                                                                                       ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO A,982934.0,Tiempo Completo,4,ELECTRICISTA                                                                                                                                                                                                                                                    ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,406575.0,Tiempo Completo,1,CONSERJE                                                                                                                                                                                                                                                        ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,558458.0,Tiempo Completo,4,Asistente de Apoyo al Sistema de Gestión de Calidad                                                                                                                                                                                                             ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,845838.0,Tiempo Completo,5,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,361856.0,1/2 tiempo,1,PROFESIONAL EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                             ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,723712.0,Tiempo Completo,0,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,611456.0,Tiempo Completo,4,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,428854.0,Tiempo Completo,1,ASISTENTE EN ARCHIVÍSTICA                                                                                                                                                                                                                                       ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,118483.35,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,693856.0,Tiempo Completo,4,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,287370.3,3/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO A,567870.0,Tiempo Completo,4,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1077278.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,703795.0,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,527579.0,Tiempo Completo,4,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,111142.6,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,163452.55,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,985336.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,590759.0,Tiempo Completo,4,CHOFER                                                                                                                                                                                                                                                          ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,617570.0,Tiempo Completo,4,TÉCNICO ENCARGADO DE PROGRAMA DE POSGRADO                                                                                                                                                                                                                       ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,238941.75,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,249090.75,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,814648.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,665019.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,670524.0,Tiempo Completo,4,CHOFER                                                                                                                                                                                                                                                          ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,513602.05,Tiempo Completo,0,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO SIN TITULO           ,271392.0,3/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,717207.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,921928.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,583160.0,Tiempo Completo,4,CONSERJE                                                                                                                                                                                                                                                        ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,531928.0,Tiempo Completo,4,CONSERJE                                                                                                                                                                                                                                                        ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,781195.4,7/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,845838.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,598375.0,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,166113.45,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,1289014.0,Tiempo Completo,4,PROFESIONAL EN DESARROLLO Y MANTENIMIENTO DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                         ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO A,517686.0,Tiempo Completo,4,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,249090.7,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,531928.0,Tiempo Completo,4,CONSERJE                                                                                                                                                                                                                                                        ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,521273.0,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,430735.75,3/4 de tiempo,0,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,139879.0,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,865015.0,Tiempo Completo,4,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,647416.0,Tiempo Completo,4,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,295321.3,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO A,793314.0,Tiempo Completo,4,EBANISTA                                                                                                                                                                                                                                                        ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,486378.5,Tiempo Completo,4,MENSAJERO-CHOFER                                                                                                                                                                                                                                                ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,249090.7,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,273927.15,1/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,483048.0,Tiempo Completo,2,CONSERJE                                                                                                                                                                                                                                                        ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,777956.0,Tiempo Completo,4,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,777956.0,Tiempo Completo,4,PENDIENTE...........                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,923781.0,Tiempo Completo,4,PROFESIONAL ENCARGADO DE PLATAFORMAS INFORMÁTICAS Y TELEMÁTICA                                                                                                                                                                                                  ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,777956.0,Tiempo Completo,4,TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,513602.05,Tiempo Completo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,558458.0,Tiempo Completo,4,ASISTENTE DE TALLER ARTÍSTICO                                                                                                                                                                                                                                   ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,98442.9,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,177863.9,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR ADJUNTO EDUCACION SUPERIOR    ,1102707.4,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,256361.5,3/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO C,706127.0,Tiempo Completo,3,TÉCNICO EN ARCHIVO UNIVERSITARIO                                                                                                                                                                                                                                ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,643933.0,Tiempo Completo,3,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,139879.0,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
