position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
TECNICO ESPECIALIZADO B,717207.0,Tiempo Completo,4,ADMINISTRATIVO,717.207,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1289151.0,Tiempo Completo,9,ADMINISTRATIVO,1289.151,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,728235.35,7/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,728.2353499999999,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,969877.0,Tiempo Completo,9,ADMINISTRATIVO,969.877,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,886470.1,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,886.4701,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1331543.0,Tiempo Completo,9,ADMINISTRATIVO,1331.543,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
DIRECTOR ESTACION EXPERIMENTAL,2694000.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,2694.0,"(2051801.0, 2802161.5]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,182486.55,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,182.48655,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,821234.0,Tiempo Completo,9,ADMINISTRATIVO,821.234,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1219781.0,Tiempo Completo,9,ADMINISTRATIVO,1219.781,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1219781.0,Tiempo Completo,9,ADMINISTRATIVO,1219.781,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,997197.0,Tiempo Completo,9,ADMINISTRATIVO,997.197,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL A,847412.0,Tiempo Completo,9,ADMINISTRATIVO,847.412,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,563795.1,3/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,563.7950999999999,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL A,684113.5,1/2 tiempo,9,ADMINISTRATIVO,684.1135,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1159034.0,Tiempo Completo,9,ADMINISTRATIVO,1159.034,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO C,1099706.0,Tiempo Completo,9,ADMINISTRATIVO,1099.706,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESIONAL B,1920829.0,Tiempo Completo,9,ADMINISTRATIVO,1920.829,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1219781.0,Tiempo Completo,9,ADMINISTRATIVO,1219.781,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1219781.0,Tiempo Completo,9,ADMINISTRATIVO,1219.781,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,811615.0,Tiempo Completo,9,ADMINISTRATIVO,811.615,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,182013.45,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,182.01345,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PERSONAL EXTRAORDINARIO 1,332590.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,332.59,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,545105.0,Tiempo Completo,2,ADMINISTRATIVO,545.105,"(334919.26, 553674.0]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1159034.0,Tiempo Completo,9,ADMINISTRATIVO,1159.034,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1061183.0,Tiempo Completo,8,ADMINISTRATIVO,1061.183,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1117841.45,7/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,1117.84145,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO A,791802.0,Tiempo Completo,9,ADMINISTRATIVO,791.802,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1434840.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1434.84,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,984446.0,Tiempo Completo,9,ADMINISTRATIVO,984.446,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,964179.6,7/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,964.1795999999999,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1555103.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1555.103,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,54097.45,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,54.097449999999995,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO A,791802.0,Tiempo Completo,9,ADMINISTRATIVO,791.802,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL B,1200317.0,Tiempo Completo,9,ADMINISTRATIVO,1200.317,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,811615.0,Tiempo Completo,9,ADMINISTRATIVO,811.615,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL B,1882734.0,Tiempo Completo,9,ADMINISTRATIVO,1882.734,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1141849.0,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,1141.849,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,984446.0,Tiempo Completo,9,ADMINISTRATIVO,984.446,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,486342.1,3/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,486.34209999999996,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,717247.8,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,717.2478000000001,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,570924.5,1/2 tiempo,7,PUESTO NO ADMINISTRATIVO ,570.9245,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL B,1475752.0,Tiempo Completo,5,ADMINISTRATIVO,1475.752,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,713733.0,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,713.733,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,692683.0,Tiempo Completo,8,ADMINISTRATIVO,692.683,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1446752.1,7/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,1446.7521000000002,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR VISITANTE,2265223.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,2265.223,"(2051801.0, 2802161.5]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,586242.4,1/2 tiempo,8,PUESTO NO ADMINISTRATIVO ,586.2424,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,218922.85,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,218.92285,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,230319.5,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,230.3195,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,231722.55,3/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,231.72254999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,451738.5,Tiempo Completo,3,ADMINISTRATIVO,451.7385,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO BACHILLER            ,64200.25,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,64.20025,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,653810.15,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,653.81015,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO BACHILLER            ,523873.9,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,523.8739,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1305422.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1305.422,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,1086043.0,Tiempo Completo,9,ADMINISTRATIVO,1086.043,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,616662.3,3/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,616.6623000000001,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,937083.0,Tiempo Completo,9,ADMINISTRATIVO,937.083,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL A,923781.0,Tiempo Completo,4,ADMINISTRATIVO,923.781,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,775928.6,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,775.9286,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,996363.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,996.363,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,653810.25,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,653.81025,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO,889724.45,5/8 de tiempo,9,ADMINISTRATIVO,889.7244499999999,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,208.06725,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,710748.0,Tiempo Completo,4,ADMINISTRATIVO,710.748,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL A,666851.0,Tiempo Completo,5,ADMINISTRATIVO,666.851,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL B,1043025.0,Tiempo Completo,4,ADMINISTRATIVO,1043.025,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,248735.2,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,248.73520000000002,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1138979.0,Tiempo Completo,9,ADMINISTRATIVO,1138.979,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,847223.55,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,847.22355,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,196985.25,1/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,196.98525,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESIONAL B,1715735.0,Tiempo Completo,9,ADMINISTRATIVO,1715.735,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,537793.5,1/2 tiempo,4,PUESTO NO ADMINISTRATIVO ,537.7935,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ADJUNTO                       ,1943579.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1943.579,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1764992.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1764.992,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,983241.3,7/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,983.2413,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,575070.7,3/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,575.0707,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO,1157122.0,Tiempo Completo,4,ADMINISTRATIVO,1157.122,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,777956.0,Tiempo Completo,4,ADMINISTRATIVO,777.956,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,719966.75,5/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,719.96675,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1199310.35,7/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,1199.3103500000002,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,516812.15,7/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,516.81215,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,388345.4,5/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,388.34540000000004,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,237769.3,1/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,237.7693,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,503388.45,5/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,503.38845000000003,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO BACHILLER            ,266431.0,1/2 tiempo,2,PUESTO NO ADMINISTRATIVO ,266.431,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO C,907179.0,Tiempo Completo,7,ADMINISTRATIVO,907.179,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,688342.1,3/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,688.3421,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,656958.0,Tiempo Completo,4,ADMINISTRATIVO,656.958,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,163452.55,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,163.45255,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,889141.0,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,889.141,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL A,853863.6,Tiempo Completo,9,ADMINISTRATIVO,853.8636,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,810504.8,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,810.5048,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,193982.15,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,193.98215,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,671016.75,3/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,671.01675,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,921278.0,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,921.278,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,901782.0,Tiempo Completo,9,ADMINISTRATIVO,901.782,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,387768.65,3/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,387.76865000000004,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,817348.6,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,817.3486,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,182486.55,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,182.48655,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,1938863.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1938.863,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO,663782.2,7/8 de tiempo,3,ADMINISTRATIVO,663.7822,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,868547.2,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,868.5472,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,901700.5,7/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,901.7005,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL B,1907195.0,Tiempo Completo,9,ADMINISTRATIVO,1907.195,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,612791.55,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,612.79155,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,117021.0,1/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,117.021,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,328818.0,1/2 tiempo,2,ADMINISTRATIVO,328.818,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1302147.0,Tiempo Completo,8,ADMINISTRATIVO,1302.147,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR VISITANTE,2016256.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,2016.256,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,701727.4,3/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,701.7274,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL B,1475752.0,Tiempo Completo,5,ADMINISTRATIVO,1475.752,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,73.83030000000001,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL A,935661.0,Tiempo Completo,6,ADMINISTRATIVO,935.661,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,295321.3,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,295.3213,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,86396.0,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,86.396,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL A,1280374.0,Tiempo Completo,9,ADMINISTRATIVO,1280.374,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,62671.9,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,62.6719,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,707096.2,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,707.0962,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,715390.6,3/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,715.3906,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,451841.35,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,451.84135,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,315501.7,1/2 tiempo,2,PUESTO NO ADMINISTRATIVO ,315.5017,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1253901.0,Tiempo Completo,9,ADMINISTRATIVO,1253.901,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,150613.75,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,150.61375,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,145828.0,1/8 de tiempo,7,PUESTO NO ADMINISTRATIVO ,145.828,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,983728.75,5/8 de tiempo,7,PUESTO NO ADMINISTRATIVO ,983.72875,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,59064.25,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,59.06425,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL C,1695411.0,Tiempo Completo,9,ADMINISTRATIVO,1695.411,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESIONAL D,1754327.0,Tiempo Completo,9,ADMINISTRATIVO,1754.327,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,234655.7,1/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,234.65570000000002,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,166113.45,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,166.11345,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,219824.5,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,219.8245,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,193982.15,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,193.98215,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,111142.6,1/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,111.1426,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,245178.8,3/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,245.1788,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1078149.0,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,1078.149,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,874597.0,Tiempo Completo,9,ADMINISTRATIVO,874.597,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,163452.55,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,163.45255,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,148793.1,1/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,148.7931,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,811615.0,Tiempo Completo,9,ADMINISTRATIVO,811.615,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL A,333425.5,1/2 tiempo,6,ADMINISTRATIVO,333.4255,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,714835.0,Tiempo Completo,7,ADMINISTRATIVO,714.835,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL B,1274523.0,Tiempo Completo,7,ADMINISTRATIVO,1274.523,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,713837.85,5/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,713.83785,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,153.19785000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,893220.45,7/8 de tiempo,7,PUESTO NO ADMINISTRATIVO ,893.2204499999999,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,176050.7,1/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,176.0507,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,984446.0,Tiempo Completo,9,ADMINISTRATIVO,984.446,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,811615.0,Tiempo Completo,9,ADMINISTRATIVO,811.615,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,148793.1,1/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,148.7931,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,333977.7,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,333.9777,"(161986.54, 334919.26]",0-10 Años,2020-08-01
